OTU.ID Sample.1 Sample.10 Sample.11 Sample.12 Sample.13 Sample.14 Sample.15 Sample.16 Sample.17 Sample.18 Sample.19 Sample.2 Sample.20 Sample.21 Sample.22 Sample.23 Sample.24 Sample.25 Sample.26 Sample.27 Sample.3 Sample.4 Sample.5 Sample.6 Sample.7 Sample.8 Sample.9 V11 V14 V23 V25 V26 V28
1 00dff6a09891768ed0b7b927e9a88760 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 Cnidaria Hydrozoa Hydra 1 Hydra_oligactis 1
2 02d3eb79f23f0c0b1ba1923f3b706cd8 0 0 0 0 0 0 0 0 156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 Annelida Polychaeta Polydora_segmented_worms 1 Polydora_cornuta 1
3 0562dc1ef71419b0566c2ef63e34d852 0 5 0 0 0 0 0 12 8 0 0 0 51 0 24 0 18 20 34 0 3 0 0 0 0 0 0 Annelida Polychaeta Alitta 1 Alitta_succinea 1
4 05b631fdff89e3cfc0c7ffd7e7fb5874 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 8 9 0 0 0 0 0 0 0 0 Chordata Actinopteri Menidia 1 Menidia_beryllina 1
5 06bd73a7feebcd950e5e6684b2c538f6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 Arthropoda Malacostraca Orchestia 1 Orchestia_grillus 1
6 0729704ae31558e10887c001a7d6bc43 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 Mollusca Bivalvia Mytilus 1 Mytilus_trossulus 1
7 08cb598fe9ecd8b33e7434f6d87d10ee 0 0 0 0 0 0 0 15 13 11 0 0 40 10 0 0 8 12 0 0 0 0 0 0 0 0 0 Chordata Actinopteri Scomber 1 Scomber_scombrus 1
8 09e0b7732756219b04536974ecad9447 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 Mollusca Gastropoda Astyris 1 Astyris_lunata 1
9 0b0d2be1f005559cfbfbdd321924d94b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 116 428 208 0 0 Annelida Polychaeta Polycirrus 1 Polycirrus_eximius 1
10 0b1f76eb7f95d2594446f4d46981c7a4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 79 38 0 0 0 0 0 0 0 0 Chordata Ascidiacea Ascidia 1 Ascidia_ahodori 1
11 0c9e9d639e0eb91a19d257c3e52031e1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 Mollusca Gastropoda Astyris 1 Astyris_lunata 1
12 0d022e909a65cee128c57eaace3e880a 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 Cnidaria Scyphozoa Aurelia 1 Aurelia_aurita 1
13 0d08491772685553faedc348a2d62a58 0 2 0 0 0 0 0 0 0 0 0 0 5 0 2 0 0 0 0 0 0 0 0 0 0 10 0 Chordata Actinopteri Microgadus 1 Microgadus_tomcod 1
14 0e3c52e9c2cabdc311ab1b6494ce0d73 0 0 0 0 0 0 0 280 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 Annelida Polychaeta Polydora_segmented_worms 1 Polydora_cornuta 1
15 0e97f01a3944b63dfc6b369e5ea66f2b 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 10 Cnidaria Hydrozoa Sarsia 1 Sarsia_tubulosa 1
