,X.OTU.ID,Phylum,Class,Species,Probability,X637_ENEG_CO1,X638_ENEG_CO1,X639_ENEG_CO1,X640_ENEG_CO1,X641_ENEG_CO1,X642_ENEG_CO1,CAB_01_CO1,CAB_02_CO1,CAB_03_CO1,CAB_FC_CO1,CON_01_CO1,CON_02_CO1,CON_03_CO1,CON_FC_CO1,CON_LC_CO1,FAI_01_CO1,FAI_02_CO1,FAI_03_CO1,FAI_FC_CO1,FRK_01_CO1,FRK_02_CO1,FRK_03_CO1,FRK_FC_CO1,MOS_01_CO1,MOS_02_CO1,MOS_03_CO1,MOS_FC_CO1,PLS_01_CO1,PLS_02_CO1,PLS_03_CO1,PLS_FC_CO1,RSE_01_CO1,RSE_02_CO1,RSE_03_CO1,RSE_FC_CO1,TAE_01_CO1,TAE_02_CO1,TAE_03_CO1,TAE_FC_CO1,TAW_01_CO1,TAW_02_CO1,TAW_03_CO1,TAW_FC_CO1,WRK02_01_CO1,WRK02_02_CO1,WRK02_03_CO1,WRK02_FC_CO1
1,0002a885cef1bed18a40dff8804295e1,Arthropoda,Hexanauplia,Eurytemora_herdmani,1,0,0,0,0,0,0,0,48,435,0,0,0,110,0,0,302,0,0,0,0,0,0,0,78,352,155,0,0,0,0,0,0,0,0,0,1010,2420,2586,0,186,0,0,0,947,0,91,0
2,00203db38e3cd3a4e57cc66fbf0ce474,Arthropoda,Insecta,Lasius_alienus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
3,003fd908c822e9e95c85ab1f26d5f946,Arthropoda,Hexanauplia,Pseudocalanus_newmani,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0071e559ec3f48e6b3d55743a6343d08,Arthropoda,Hexanauplia,Oithona_similis,1,0,0,0,0,0,0,992,45,204,0,0,0,73,0,0,1773,1632,1966,0,0,185,1474,0,31,561,110,0,22,84,0,0,0,31,0,0,260,2893,914,0,187,212,749,0,77,0,31,0
5,01ad1b60aa2227255321ccfa760ba7a7,Mollusca,Gastropoda,Doto_coronata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,02916086aff289caa5bb829d5182b7d6,Chordata,Actinopteri,Pleuronichthys_coenosus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,02b46abf3df95f27e4aa2445ef71051b,Arthropoda,Hexanauplia,Calanus_pacificus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,02d068012047fb996ef6f71ed22c00d3,Arthropoda,Hexanauplia,Calanus_pacificus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,02e2974807fc9b37cf69da814d5838bb,Arthropoda,Hexanauplia,Rhynchothalestris_helgolandica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,031a7ae6157edb027b4e1c351e6954bd,Mollusca,Bivalvia,Macoma_nasuta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
